"rechteckgraben";"ritus";"alterbem";"aalter";"g_loc08_id";"grabkonstr";"grabhoehenlage";"laenge";"breite";"tiefe";"leichenbeh";"holzreste";"steinpackungsunterlage";"steinabdeckung";"brandspuren";"steinkiste";"steinkranz";"steineinfassunglangseite";"steineinfassungschmalseite";"gruenspan";"ausrichtung";"kopfbekannt";"tangentiallage";"phase";"individuenzahl";"folgegrab";"zusammenmitgrab";"geschlecht";"geschlecht_arch";"g_bem"
f;560;"";534;160;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;161;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;162;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;163;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;164;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;165;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;166;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;167;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;168;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;170;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;171;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;172;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;173;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;174;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;175;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;192;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;193;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;194;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;195;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;196;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;199;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;205;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;207;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;208;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;209;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;211;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;213;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;217;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;221;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;228;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;229;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;230;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;231;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;232;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;233;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;234;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;235;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;236;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;237;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;239;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;240;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;241;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;242;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;243;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;244;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;245;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;246;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;247;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;248;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;249;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;250;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;251;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;252;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;253;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;281;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;282;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;283;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;284;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;288;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;289;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;290;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;291;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;292;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;293;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;294;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;295;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;296;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;297;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;298;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;299;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;300;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;301;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;302;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;303;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;306;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;327;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;328;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;329;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;330;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;331;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
