"loc04_id";"loc04_loc03_id";"loc04_nam";"loc04_code";"x";"y"
369;100;"ROTENBURG (WÜMME)";"DE937";3520391.54846;5901975.97614
370;100;"SOLTAU-FALLINGBOSTEL";"DE938";3551942.63838;5866569.28844
371;100;"STADE";"DE939";3527607.74123;5938439.4622
372;100;"UELZEN";"DE93A";3603970.88534;5873535.29065
373;100;"VERDEN";"DE93B";3511871.63687;5871028.33328
374;101;"DELMENHORST";"DE941";3476302.6644;5879414.60434
375;101;"EMDEN";"DE942";3379243.07474;5915706.40134
376;101;"OLDENBURG";"DE943";3448170.93314;5890253.18762
377;101;"OSNABRÜCK";"DE944";3435530.62725;5793753.50631
378;101;"WILHELMSHAVEN";"DE945";3439576.96345;5937377.6536
379;101;"AMMERLAND";"DE946";3434165.75112;5898596.12647
380;101;"AURICH";"DE947";3392128.48587;5930592.87087
381;101;"CLOPPENBURG";"DE948";3426473.7011;5864375.54562
382;101;"EMSLAND";"DE949";3392449.68708;5845747.90037
383;101;"FRIESLAND";"DE94A";3432592.35701;5931238.90025
384;101;"GRAFSCHAFT BENTHEIM";"DE94B";3365888.763;5817477.33043
385;101;"LEER";"DE94C";3398522.50138;5901861.76532
386;101;"OLDENBURG";"DE94D";3459191.15478;5872804.16279
387;101;"OSNABRÜCK";"DE94E";3435319.57597;5805395.82247
388;101;"VECHTA";"DE94F";3447782.90569;5836315.22349
389;101;"WESERMARSCH";"DE94G";3459360.27588;5913566.22724
390;101;"WITTMUND";"DE94H";3414329.39321;5938640.9027
391;102;"DÜSSELDORF";"DEA11";3347354.22762;5679962.84847
392;102;"DUISBURG";"DEA12";3342760.61556;5702848.97762
393;102;"ESSEN";"DEA13";3362292.44212;5701535.04314
394;102;"KREFELD";"DEA14";3331683.0717;5692524.78319
395;102;"MÖNCHENGLADBACH";"DEA15";3319260.23394;5673104.76015
396;102;"MÜLHEIM A. D. RUHR";"DEA16";3352764.44952;5699550.57049
397;102;"OBERHAUSEN";"DEA17";3350627.1288;5710580.30177
398;102;"REMSCHEID";"DEA18";3376060.53672;5673358.46479
399;102;"SOLINGEN";"DEA19";3364994.35497;5671211.61096
400;102;"WUPPERTAL";"DEA1A";3372240.46679;5680922.65408
401;102;"KLEVE";"DEA1B";3310734.26795;5727464.83835
402;102;"METTMANN";"DEA1C";3358471.35571;5681957.10119
403;102;"NEUSS";"DEA1D";3335690.26229;5669956.83423
404;102;"VIERSEN";"DEA1E";3313739.75865;5686272.63592
405;102;"WESEL";"DEA1F";3335347.60943;5723810.14401
406;103;"AACHEN";"DEA21";3296303.21497;5628800.43875
407;103;"BONN";"DEA22";3366521.61996;5620342.85259
408;103;"KÖLN";"DEA23";3357623.56679;5647308.83948
409;103;"LEVERKUSEN";"DEA24";3360830.36826;5659116.02553
410;103;"AACHEN";"DEA25";3305927.20092;5623747.72484
411;103;"DÜREN";"DEA26";3320073.82406;5634328.33393
412;103;"ERFTKREIS";"DEA27";3339507.14413;5643260.42377
413;103;"EUSKIRCHEN";"DEA28";3333055.46718;5602532.29231
414;103;"HEINSBERG";"DEA29";3301209.62569;5660656.18512
415;103;"OBERBERGISCHER KREIS";"DEA2A";3395872.50864;5653953.29195
416;103;"RHEINISCH-BERGISCHER KREIS";"DEA2B";3373378.26665;5655580.544
417;103;"RHEIN-SIEG-KREIS";"DEA2C";3375364.92937;5626278.55393
418;104;"BOTTROP";"DEA31";3355905.70158;5717222.07152
419;104;"GELSENKIRCHEN";"DEA32";3366229.53511;5714726.55304
420;104;"MÜNSTER";"DEA33";3405744.90087;5758639.52323
421;104;"BORKEN";"DEA34";3355952.96817;5760470.23883
422;104;"COESFELD";"DEA35";3387725.05649;5749073.87383
423;104;"RECKLINGHAUSEN";"DEA36";3372733.71571;5727709.93599
424;104;"STEINFURT";"DEA37";3403312.72467;5787061.30573
425;104;"WARENDORF";"DEA38";3428403.53419;5748715.0235
426;105;"BIELEFELD";"DEA41";3468725.52468;5764213.93201
427;105;"GÜTERSLOH";"DEA42";3455518.97806;5755280.1067
428;105;"HERFORD";"DEA43";3475918.37196;5781611.42498
429;105;"HÖXTER";"DEA44";3512423.6848;5727929.43466
430;105;"LIPPE";"DEA45";3496667.25844;5760939.60774
431;105;"MINDEN-LÜBBECKE";"DEA46";3482485.88983;5801930.71939
432;105;"PADERBORN";"DEA47";3480690.36823;5725479.52052
433;106;"BOCHUM";"DEA51";3376727.75343;5705163.85407
434;106;"DORTMUND";"DEA52";3394179.23117;5709836.43778
435;106;"HAGEN";"DEA53";3395460.35448;5691062.60968
436;106;"HAMM";"DEA54";3418840.31906;5726214.71014
437;106;"HERNE";"DEA55";3375675.51844;5712672.06359
438;106;"ENNEPE-RUHR-KREIS";"DEA56";3383302.71693;5691176.57829
439;106;"HOCHSAUERLANDKREIS";"DEA57";3457126.06458;5685619.28991
440;106;"MÄRKISCHER KREIS";"DEA58";3410239.34987;5681424.78493
441;106;"OLPE";"DEA59";3428239.20267;5661382.9094
442;106;"SIEGEN-WITTGENSTEIN";"DEA5A";3443228.30031;5644665.19222
443;106;"SOEST";"DEA5B";3445978.05214;5714526.2782
444;106;"UNNA";"DEA5C";3405573.92866;5716567.34493
