"s_klassen_id";"s_klasse";"s_code";"s_name";"s_bem"
64;"Datierungsschlüssel_alt";"0";"None";"None"
65;"Datierungsschlüssel_alt";"0";"None";"None"
66;"Datierungsschlüssel_alt";"0";"None";"None"
67;"Datierungsschlüssel_alt";"0";"None";"None"
68;"Datierungsschlüssel_alt";"0";"None";"None"
69;"Datierungsschlüssel_alt";"0";"None";"None"
70;"Datierungsschlüssel_alt";"0";"None";"None"
71;"Datierungsschlüssel_alt";"0";"None";"None"
72;"Datierungsschlüssel_alt";"0";"None";"None"
73;"Datierungsschlüssel_alt";"0";"None";"None"
74;"Datierungsschlüssel_alt";"0";"None";"None"
75;"Datierungsschlüssel_alt";"0";"None";"None"
76;"Datierungsschlüssel_alt";"0";"None";"None"
77;"Datierungsschlüssel_alt";"0";"None";"None"
78;"Datierungsschlüssel_alt";"0";"None";"None"
79;"Datierungsschlüssel_alt";"0";"None";"None"
80;"Datierungsschlüssel_alt";"0";"None";"None"
81;"Datierungsschlüssel_alt";"0";"None";"None"
82;"Datierungsschlüssel_alt";"0";"None";"None"
83;"Datierungsschlüssel_alt";"0";"None";"None"
84;"Datierungsschlüssel_alt";"0";"None";"None"
85;"Datierungsschlüssel_alt";"0";"None";"None"
86;"Datierungsschlüssel_alt";"0";"None";"None"
87;"Datierungsschlüssel_alt";"0";"None";"None"
88;"Datierungsschlüssel_alt";"0";"None";"None"
89;"Datierungsschlüssel_alt";"0";"None";"None"
90;"Datierungsschlüssel_alt";"0";"None";"None"
91;"Datierungsschlüssel_alt";"0";"None";"None"
92;"Datierungsschlüssel_alt";"0";"None";"None"
93;"Datierungsschlüssel_alt";"0";"None";"None"
94;"Datierungsschlüssel_alt";"0";"None";"None"
95;"Datierungsschlüssel_alt";"0";"None";"None"
96;"Datierungsschlüssel_alt";"0";"None";"None"
97;"Datierungsschlüssel_alt";"0";"None";"None"
98;"Datierungsschlüssel_alt";"0";"None";"None"
99;"Datierungsschlüssel_alt";"0";"None";"None"
100;"Objekttypen";"E";"Einzelfund, Streufund usw.";"None"
101;"Objekttypen";"G";"Grab";"None"
102;"Objekttypen";"Gf";"Flachgräber";"None"
103;"Objekttypen";"Gh";"Hügelgrab";"None"
104;"Objekttypen";"S";"Siedlung";"None"
105;"Objekttypen";"Sb";"befestigte Siedlung";"None"
106;"Objekttypen";"Sbb";"Befestigung";"None"
107;"Objekttypen";"Sbg";"Gebäude in bef. Siedlung";"None"
108;"Objekttypen";"Sbx";"Sonst in bef. Siedl.";"None"
109;"Objekttypen";"Su";"unbefestigte Siedlung";"None"
110;"Objekttypen";"Sug";"Gebäude in unbef. Siedl.";"None"
111;"Objekttypen";"Sux";"Sonstiges in unbef. Siedl.";"None"
112;"Objekttypen";"X";"Sonstiges";"None"
113;"Objekttypen";"u";"unbekannt";"None"
115;"Objekttypen";"0";"None";"None"
116;"Objekttypen";"0";"None";"None"
117;"Objekttypen";"0";"None";"None"
118;"Objekttypen";"0";"None";"None"
119;"Objekttypen";"0";"None";"None"
120;"Objekttypen";"0";"None";"None"
121;"Objekttypen";"0";"None";"None"
122;"Objekttypen";"0";"None";"None"
123;"Objekttypen";"0";"None";"None"
124;"Objekttypen";"0";"None";"None"
125;"Objekttypen";"0";"None";"None"
126;"Objekttypen";"0";"None";"None"
127;"Objekttypen";"0";"None";"None"
128;"Objekttypen";"0";"None";"None"
129;"Objekttypen";"0";"None";"None"
130;"Objekttypen";"0";"None";"None"
131;"Objekttypen";"0";"None";"None"
132;"Objekttypen";"0";"None";"None"
133;"Objekttypen";"0";"None";"None"
134;"Objekttypen";"0";"None";"None"
135;"Objekttypen";"0";"None";"None"
136;"Objekttypen";"0";"None";"None"
137;"Objekttypen";"0";"None";"None"
138;"Objekttypen";"0";"None";"None"
139;"Objekttypen";"0";"None";"None"
140;"Objekttypen";"0";"None";"None"
141;"Objekttypen";"0";"None";"None"
142;"Objekttypen";"0";"None";"None"
143;"Objekttypen";"0";"None";"None"
144;"Objekttypen";"0";"None";"None"
145;"Objekttypen";"0";"None";"None"
146;"Objekttypen";"0";"None";"None"
147;"Objekttypen";"0";"None";"None"
148;"Objekttypen";"0";"None";"None"
149;"Objekttypen";"0";"None";"None"
