"d_klassen_id";"d_klasse";"d_name";"d_code";"d_text_beschr";"d_text_bem";"d_text_lit";"tg"
20580;"B126892";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>normalmundig";"B126892";"normalmundig";"B12689";"None";"None"
20581;"B1268921";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>normalmundig>hoher Umbruch";"B1268921";"hoher Umbruch";"B126892";"None";"None"
20582;"B1268922";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>normalmundig>mittlerer Umbruch";"B1268922";"mittlerer Umbruch";"B126892";"None";"None"
20533;"B1268321";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>normalmundig>hoher Umbruch";"B1268321";"hoher Umbruch";"B126832";"None";"None"
20534;"B1268322";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>normalmundig>mittlerer Umbruch";"B1268322";"mittlerer Umbruch";"B126832";"None";"None"
20535;"B1268323";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>normalmundig>niedriger Umbruch";"B1268323";"niedriger Umbruch";"B126832";"None";"None"
20536;"B126833";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>weitmundig";"B126833";"weitmundig";"B12683";"None";"None"
20537;"B1268331";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>weitmundig>hoher Umbruch";"B1268331";"hoher Umbruch";"B126833";"None";"None"
20538;"B1268332";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>weitmundig>mittlerer Umbruch";"B1268332";"mittlerer Umbruch";"B126833";"None";"None"
20539;"B1268333";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>weitmundig>niedriger Umbruch";"B1268333";"niedriger Umbruch";"B126833";"None";"None"
20280;"B126532";"Gefaess>Breitform>Metallgef.>gerade>Omphalos>normalmundig";"B126532";"normalmundig";"B12653";"None";"None"
20540;"B126841";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>engmundig";"B126841";"engmundig";"B12684";"None";"None"
20541;"B1268411";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>engmundig>hoher Umbruch";"B1268411";"hoher Umbruch";"B126841";"None";"None"
20542;"B1268412";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>engmundig>mittlerer Umbruch";"B1268412";"mittlerer Umbruch";"B126841";"None";"None"
20543;"B1268413";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>engmundig>niedriger Umbruch";"B1268413";"niedriger Umbruch";"B126841";"None";"None"
20544;"B126842";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>normalmundig";"B126842";"normalmundig";"B12684";"None";"None"
20545;"B1268421";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>normalmundig>hoher Umbruch";"B1268421";"hoher Umbruch";"B126842";"None";"None"
20546;"B1268422";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>normalmundig>mittlerer Umbruch";"B1268422";"mittlerer Umbruch";"B126842";"None";"None"
20547;"B1268423";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>normalmundig>niedriger Umbruch";"B1268423";"niedriger Umbruch";"B126842";"None";"None"
20548;"B126843";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>weitmundig";"B126843";"weitmundig";"B12684";"None";"None"
20549;"B1268431";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>weitmundig>hoher Umbruch";"B1268431";"hoher Umbruch";"B126843";"None";"None"
20550;"B1268432";"Gefaess>Breitform>Metallgef.>Blech u. Achse>flachbodig>weitmundig>mittlerer Umbruch";"B1268432";"mittlerer Umbruch";"B126843";"None";"None"
20509;"B1268121";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Fuss>normalmundig>hoher Umbruch";"B1268121";"hoher Umbruch";"B126812";"None";"None"
20510;"B1268122";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Fuss>normalmundig>mittlerer Umbruch";"B1268122";"mittlerer Umbruch";"B126812";"None";"None"
20511;"B1268123";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Fuss>normalmundig>niedriger Umbruch";"B1268123";"niedriger Umbruch";"B126812";"None";"None"
20512;"B126813";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Fuss>weitmundig";"B126813";"weitmundig";"B12681";"None";"None"
20513;"B1268131";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Fuss>weitmundig>hoher Umbruch";"B1268131";"hoher Umbruch";"B126813";"None";"None"
20514;"B1268132";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Fuss>weitmundig>mittlerer Umbruch";"B1268132";"mittlerer Umbruch";"B126813";"None";"None"
20515;"B1268133";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Fuss>weitmundig>niedriger Umbruch";"B1268133";"niedriger Umbruch";"B126813";"None";"None"
20516;"B126821";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>engmundig";"B126821";"engmundig";"B12682";"None";"None"
20517;"B1268211";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>engmundig>hoher Umbruch";"B1268211";"hoher Umbruch";"B126821";"None";"None"
20518;"B1268212";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>engmundig>mittlerer Umbruch";"B1268212";"mittlerer Umbruch";"B126821";"None";"None"
20519;"B1268213";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>engmundig>niedriger Umbruch";"B1268213";"niedriger Umbruch";"B126821";"None";"None"
20520;"B126822";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>normalmundig";"B126822";"normalmundig";"B12682";"None";"None"
20521;"B1268221";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>normalmundig>hoher Umbruch";"B1268221";"hoher Umbruch";"B126822";"None";"None"
20522;"B1268222";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>normalmundig>mittlerer Umbruch";"B1268222";"mittlerer Umbruch";"B126822";"None";"None"
20523;"B1268223";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>normalmundig>niedriger Umbruch";"B1268223";"niedriger Umbruch";"B126822";"None";"None"
20524;"B126823";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>weitmundig";"B126823";"weitmundig";"B12682";"None";"None"
20525;"B1268231";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>weitmundig>hoher Umbruch";"B1268231";"hoher Umbruch";"B126823";"None";"None"
20526;"B1268232";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>weitmundig>mittlerer Umbruch";"B1268232";"mittlerer Umbruch";"B126823";"None";"None"
20527;"B1268233";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Standring>weitmundig>niedriger Umbruch";"B1268233";"niedriger Umbruch";"B126823";"None";"None"
20528;"B126831";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>engmundig";"B126831";"engmundig";"B12683";"None";"None"
20529;"B1268311";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>engmundig>hoher Umbruch";"B1268311";"hoher Umbruch";"B126831";"None";"None"
20530;"B1268312";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>engmundig>mittlerer Umbruch";"B1268312";"mittlerer Umbruch";"B126831";"None";"None"
20531;"B1268313";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>engmundig>niedriger Umbruch";"B1268313";"niedriger Umbruch";"B126831";"None";"None"
20532;"B126832";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Omphalos>normalmundig";"B126832";"normalmundig";"B12683";"None";"None"
20492;"B126791";"Gefaess>Breitform>Metallgef.>eingecknickt>Sonstiger Boden>engmundig";"B126791";"engmundig";"B12679";"None";"None"
20493;"B1267911";"Gefaess>Breitform>Metallgef.>eingecknickt>Sonstiger Boden>engmundig>hoher Umbruch";"B1267911";"hoher Umbruch";"B126791";"None";"None"
20496;"B126792";"Gefaess>Breitform>Metallgef.>eingecknickt>Sonstiger Boden>normalmundig";"B126792";"normalmundig";"B12679";"None";"None"
20497;"B1267921";"Gefaess>Breitform>Metallgef.>eingecknickt>Sonstiger Boden>normalmundig>hoher Umbruch";"B1267921";"hoher Umbruch";"B126792";"None";"None"
20499;"B1267923";"Gefaess>Breitform>Metallgef.>eingecknickt>Sonstiger Boden>normalmundig>niedriger Umbruch";"B1267923";"niedriger Umbruch";"B126792";"None";"None"
