"h_loc07_id";"form";"dmbreite";"laenge";"hoehe";"grabzahl";"steinkranz";"kreisgraben";"pfosten";"stele";"stratigraphie";"h_bem";"pfostenstellungen"
4097;384;0;0;0;0;f;f;f;f;f;"leer";f
4076;380;21;0;1;2;f;f;f;f;f;"eine urnenfelderzeitliche Primärbestattung und eine Nachbestattung der HaD3";f
4098;384;0;0;0;0;f;f;f;f;f;"leer";f
4099;384;0;0;0;0;f;f;f;f;f;"leer";f
291;384;0;0;0;0;f;f;f;f;f;"leer";f
15902;384;0;0;0;0;f;f;f;f;f;"";f
15901;384;0;0;0;0;f;f;f;f;f;"";f
15892;384;0;0;0;0;f;f;f;f;f;"";f
356;384;0;0;0;0;f;f;f;f;f;"4 Steinsetzungen im Hügel.";f
355;384;0;0;0;0;f;f;f;f;f;"leer";f
354;384;0;0;0;0;f;f;f;f;f;"leer";f
353;384;0;0;0;0;f;f;f;f;f;"leer";f
352;384;0;0;0;0;f;f;f;f;f;"leer";f
351;384;0;0;0;0;f;f;f;f;f;"leer";f
383;380;4;0;0;2;t;f;f;f;f;"Im Zentrum befand sich eine von einem Steingranz umgebene Steinpackung. SW davon Leichenbrand. Im Bereich der Steinpackung fanden sich Skelettreste. die wohl zu einer Nachbestattung gehoeren. Der Huegel war bereits vor der Ausgrabung durch Steinabtrag stark gestört.";f
384;380;0;0;0;0;f;f;f;f;f;"Verflacht.";f
385;380;0;0;0;0;f;f;f;f;f;"Fraglich.";f
386;380;0;0;0;0;f;f;f;f;f;"Stark verflacht.";f
358;384;0;0;0;1;f;f;f;f;f;"1920 ausgegraben.";f
361;384;0;0;0;0;f;f;f;f;f;"leer";f
360;384;0;0;0;0;f;f;f;f;f;"leer";f
359;384;0;0;0;0;f;f;f;f;f;"leer";f
2054;384;0;0;0;0;f;f;f;f;f;"leer";f
434;384;0;0;0;0;f;f;f;f;f;"leer";f
428;384;0;0;0;0;f;f;f;f;f;"leer";f
429;384;0;0;0;0;f;f;f;f;f;"leer";f
430;384;0;0;0;0;f;f;f;f;f;"leer";f
431;384;0;0;0;0;f;f;f;f;f;"leer";f
432;384;0;0;0;0;f;f;f;f;f;"leer";f
433;384;0;0;0;0;f;f;f;f;f;"leer";f
435;384;0;0;0;0;f;f;f;f;f;"leer";f
436;384;0;0;0;0;f;f;f;f;f;"leer";f
437;384;0;0;0;0;f;f;f;f;f;"leer";f
438;384;0;0;0;0;f;f;f;f;f;"leer";f
439;384;0;0;0;0;f;f;f;f;f;"leer";f
440;384;0;0;0;0;f;f;f;f;f;"leer";f
441;384;0;0;0;0;f;f;f;f;f;"leer";f
442;380;0;0;0;0;f;f;f;f;f;"Aufbau aus Steinen und Erde. Beim Abtragen entdeckte man Knochen. Scherben und Kohlenreste.";f
443;380;7.5;0;0;0;t;f;f;f;f;"Aufbau aus Steinen und Erde. Beim Abtragen entdeckte man Knochen. Scherben und Kohlenreste.";f
444;380;20;0;2;0;t;f;f;f;f;"Im Inneren fand sich ein regelmaessiger Steinbau. der mit Kalksteinplatten abgedeckt war. Reste von Leichenbrand? Und in der Schuettung. in N-S Richtung. senkrecht gestellte Steine. In der Huegelmitte zahlreiche Knochen. Scherben und Holzkohlenreste.";f
